id,fnid,parent_id,admin_0,admin_1,admin_2,admin_3,decision_mean,decision_sd,decision_sum
223468,ET2023A3041810,222739,Ethiopia,Oromia,Kelem,Jimma Horo,0.30629762126913956,0.034009263171295004,151.92362014949322
223167,ET2023A3040105,222722,Ethiopia,Oromia,West Wellega,Kiltu Kara,0.29767639589745826,0.01502565988808773,146.45678678154945
223802,ET2023A3180612,222775,Ethiopia,South Ethiopia,Wolayita,Duguna Fango,0.39418522263981415,0.03507996330003701,193.54494431614876
223401,ET2023A3041308,222734,Ethiopia,Oromia,South West Shewa,Tole,0.32311569996238726,0.025627049829445317,158.97292438149452
223217,ET2023A3040324,222724,Ethiopia,Oromia,Ilubabor,Dorani,0.25830151739106266,0.02331280575934676,129.9256632477045
223240,ET2023A3040500,222726,Ethiopia,Oromia,West Shewa,Illu Galan,0.29766964256763456,0.017679623873305135,148.8348212838173
223753,ET2023A3171703,222771,Ethiopia,South West Ethiopia,Dawro,Loma,0.3881715683927459,0.0331915458041372,192.53309792280197
223280,ET2023A3040617,222727,Ethiopia,Oromia,North Shewa (OR),Aleltu,0.2266731264867953,0.017098181746758777,114.24325574934483
223406,ET2023A3041314,222734,Ethiopia,Oromia,South West Shewa,Sodo Daci,0.34826700905645924,0.022156842210148346,176.9196406006813
223405,ET2023A3041312,222734,Ethiopia,Oromia,South West Shewa,Goro (SW Shewa),0.3262661369352772,0.020507412496304073,166.06946370005608
223332,ET2023A3040903,222730,Ethiopia,Oromia,West Hararge,Tulo (OR),0.2810221980891976,0.029032375030490113,143.32132102549076
223734,ET2023A3170909,222769,Ethiopia,South West Ethiopia,Keffa,Chena,0.3269253753362194,0.01883427311943199,164.77038916945457
223527,ET2023A3050283,222745,Ethiopia,Somali,Fafan,Tuliguled,0.26930362363072,0.03827076292375925,137.3448480516672
222877,ET2023A3010604,222700,Ethiopia,Tigray,Southeast Tigray,Degua Temben,0.26806081650835095,0.022415569575676038,141.5361111164093
223402,ET2023A3041309,222734,Ethiopia,Oromia,South West Shewa,Becho (SW Shewa),0.297711712985716,0.02017804704054745,155.10780246555805
223064,ET2023A3030616,222713,Ethiopia,Amhara,East Gojam,Senan,0.21314334817803823,0.013096582995618878,110.83454105257988
223249,ET2023A3040509,222726,Ethiopia,Oromia,West Shewa,Tikur Enchini,0.24671248540368385,0.01904743008429205,128.0437799245119
223260,ET2023A3040521,222726,Ethiopia,Oromia,West Shewa,Welmera,0.24987955971859221,0.022235068492096846,128.9378528147936
